result,odds_home,odds_draw,odds_away,home_wins,home_draws,home_losses,home_goals,home_opposition_goals,home_shots,home_shots_on_target,home_opposition_shots,home_opposition_shots_on_target,away_wins,away_draws,away_losses,away_goals,away_opposition_goals,away_shots,away_shots_on_target,away_opposition_shots,away_opposition_shots_on_target
1,2.0,3.2,4.0,4,2,4,13,14,161,49,99,41,4,2,4,11,15,137,42,128,35
2,8.5,4.33,1.4,3,2,5,11,19,129,45,133,41,7,1,2,19,6,202,74,92,25
1,3.1,3.2,2.3,2,1,7,7,20,114,37,186,66,4,2,4,16,14,131,36,135,55
0,2.15,3.2,3.5,5,1,4,12,15,115,37,155,52,4,5,1,18,14,123,48,150,51
2,2.25,3.25,3.25,3,2,5,11,12,128,30,139,51,5,2,3,17,13,158,56,93,40
0,1.33,5.0,8.5,6,1,3,18,12,150,51,135,41,1,1,8,9,21,122,42,129,51
2,3.2,3.2,2.3,2,4,4,9,13,147,53,145,60,6,3,1,25,13,146,54,97,33
1,2.25,3.75,2.8,6,0,4,24,16,181,67,109,51,6,2,2,25,15,157,55,101,39
2,3.25,3.25,2.25,2,1,7,11,18,117,33,160,51,5,3,2,13,12,120,45,141,42
2,4.2,3.3,1.91,2,3,5,8,16,84,27,157,49,4,2,4,17,14,174,60,121,30
1,2.0,3.3,3.8,1,5,4,9,17,102,37,171,52,4,3,3,14,13,97,33,148,40
0,1.95,3.3,4.0,4,2,4,17,14,141,38,132,50,2,4,4,11,17,98,33,152,46
1,1.53,3.9,6.5,5,3,2,11,10,118,38,140,38,2,2,6,11,22,126,45,147,50
1,2.2,3.1,3.5,4,2,4,13,14,93,32,140,40,4,2,4,11,15,119,38,159,54
2,1.25,5.5,12.0,7,2,1,27,12,148,62,96,32,3,1,6,9,20,113,34,187,65
1,2.3,3.2,3.2,1,2,7,8,18,120,40,127,48,3,2,5,12,13,124,33,147,57
2,1.18,6.5,16.0,7,1,2,20,7,218,79,93,26,2,1,7,10,17,121,34,150,44
1,1.3,5.0,11.0,6,2,2,25,16,165,59,103,38,2,3,5,7,16,83,26,159,50
1,2.05,3.75,3.25,5,2,3,19,12,181,64,109,25,6,0,4,24,16,177,67,119,57
1,1.83,3.4,4.5,5,2,3,17,13,155,56,98,43,2,3,5,9,16,131,47,151,64
1,3.0,3.2,2.4,3,6,1,18,15,112,46,151,50,5,2,3,17,13,151,47,134,41
1,2.0,3.2,4.0,3,2,5,11,12,122,32,144,55,5,2,3,14,13,98,34,129,37
1,1.25,5.5,12.0,4,2,4,14,15,151,45,135,43,4,0,6,11,20,101,33,201,76
1,2.0,3.4,3.8,1,2,7,11,24,125,45,145,55,2,2,6,10,17,123,41,126,48
